file,lang,title,title_len,desc,desc_len,canonical,og_title,og_desc,og_type,og_image,og_url,og_locale,tw_card,tw_title,tw_desc,tw_image,schema_type,schema_headline,schema_desc,schema_image,schema_url
blog.html,es,ZENIT Blog - Costa Dorada Experiences,37,"Discover the best of Costa Dorada: gastronomy, BTT routes, modernist culture and more on the ZENIT Bonmont Blog.",112,https://zenitbonmont.com/blog.html,ZENIT Blog - Costa Dorada Experiences,"Discover the best of Costa Dorada: gastronomy, BTT routes, modernist culture and more on the ZENIT Bonmont Blog.",website,https://zenitbonmont.com/images/beach.webp,https://zenitbonmont.com/blog.html,en_US,summary_large_image,ZENIT Blog - Costa Dorada Experiences,"Discover the best of Costa Dorada: gastronomy, BTT routes, modernist culture and more on the ZENIT Bonmont Blog.",https://zenitbonmont.com/images/beach.webp,,,,,
faqs.html,es,FAQ & Booking - ZENIT Bonmont,29,Frequently asked questions and booking process for ZENIT Bonmont.,65,https://zenitbonmont.com/faqs.html,FAQ & Booking - ZENIT Bonmont,Frequently asked questions and booking process for ZENIT Bonmont.,website,https://zenitbonmont.com/images/beach.webp,https://zenitbonmont.com/faqs.html,en_US,summary_large_image,FAQ & Booking - ZENIT Bonmont,Frequently asked questions and booking process for ZENIT Bonmont.,https://zenitbonmont.com/images/beach.webp,,,,,
guia-modernismo-reus.html,es,Modernism Guide in Reus: Gaudí and Domènech i Montaner - ZENIT Blog,67,Discover modernism in Reus with this guide to Art Nouveau architecture by Gaudí and Domènech i Montaner. Cultural excursion from ZENIT Bonmont.,143,https://zenitbonmont.com/guia-modernismo-reus.html,Modernism Guide in Reus: Gaudí and Domènech i Montaner - ZENIT Blog,Discover modernism in Reus with this guide to Art Nouveau architecture by Gaudí and Domènech i Montaner. Cultural excursion from ZENIT Bonmont.,article,https://zenitbonmont.com/images/rosa-reus-modernismo.jpg,https://zenitbonmont.com/guia-modernismo-reus.html,en_US,summary_large_image,Modernism Guide in Reus: Gaudí and Domènech i Montaner - ZENIT Blog,Discover modernism in Reus with this guide to Art Nouveau architecture by Gaudí and Domènech i Montaner. Cultural excursion from ZENIT Bonmont.,https://zenitbonmont.com/images/rosa-reus-modernismo.jpg,Article,Modernism Guide in Reus: Gaudí and Domènech i Montaner,Discover modernism in Reus with this guide to Art Nouveau architecture by Gaudí and Domènech i Montaner. Cultural excursion from ZENIT Bonmont.,https://zenitbonmont.com/images/rosa-reus-modernismo.jpg,https://zenitbonmont.com/guia-modernismo-reus.html
index.html,es,ZENIT Bonmont - Exclusive Refuge in Costa Dorada,48,"An exclusive refuge designed to be lived. Luxury vacation rental in Costa Dorada. Experience absolute comfort, privacy, and the Mediterranean lifestyle.",152,https://zenitbonmont.com/,ZENIT Bonmont - Exclusive Refuge,An exclusive refuge designed to be lived. Luxury vacation rental in Costa Dorada tailored for memories.,website,https://zenitbonmont.com/images/hero-poster.jpg,https://zenitbonmont.com/,en_US,summary_large_image,ZENIT Bonmont - Exclusive Refuge,An exclusive refuge designed to be lived. Luxury vacation rental in Costa Dorada tailored for memories.,https://zenitbonmont.com/images/hero-poster.jpg,VacationRental,,"An exclusive refuge designed to be lived. Luxury villa in Costa Dorada with 1600m2 of private land, pool, and premium amenities.",https://zenitbonmont.com/images/hero-poster.jpg,https://zenitbonmont.com/
indoor.html,es,Indoor - ZENIT Bonmont,22,Explore the exquisite interiors of ZENIT Bonmont. Luxury and comfort in every detail.,85,https://zenitbonmont.com/indoor.html,Indoor Gallery - ZENIT Bonmont,Explore the exquisite interiors of ZENIT Bonmont. Luxury and comfort in every detail.,website,https://zenitbonmont.com/images/salon.webp,https://zenitbonmont.com/indoor.html,en_US,summary_large_image,Indoor Gallery - ZENIT Bonmont,Explore the exquisite interiors of ZENIT Bonmont. Luxury and comfort in every detail.,https://zenitbonmont.com/images/salon.webp,,,,,
legal.html,es,Legal Notice - ZENIT Bonmont | Luxury Villa Costa Dorada,56,"Legal information, privacy policy and cookie policy for ZENIT Bonmont luxury villa in Costa Dorada, Spain.",106,https://zenitbonmont.com/legal.html,Legal Notice - ZENIT Bonmont,"Legal information, privacy policy and cookie policy for ZENIT Bonmont luxury villa in Costa Dorada, Spain.",website,https://zenitbonmont.com/images/ZENIT_dorado.webp,https://zenitbonmont.com/legal.html,en_US,summary,Legal Notice - ZENIT Bonmont,"Legal information, privacy policy and cookie policy for ZENIT Bonmont luxury villa in Costa Dorada, Spain.",https://zenitbonmont.com/images/ZENIT_dorado.webp,,,,,
lifestyle.html,es,Lifestyle - ZENIT Bonmont,25,"Discover the surroundings of ZENIT Bonmont. Mediterranean Sea, culture, sports and leisure in Costa Dorada.",107,https://zenitbonmont.com/lifestyle.html,Lifestyle - ZENIT Bonmont,"Discover the surroundings of ZENIT Bonmont. Mediterranean Sea, culture, sports and leisure in Costa Dorada.",website,https://zenitbonmont.com/images/beach.webp,https://zenitbonmont.com/lifestyle.html,en_US,summary_large_image,Lifestyle - ZENIT Bonmont,"Discover the surroundings of ZENIT Bonmont. Mediterranean Sea, culture, sports and leisure in Costa Dorada.",https://zenitbonmont.com/images/beach.webp,,,,,
outdoor.html,es,Outdoor - ZENIT Bonmont,23,"Explore the stunning outdoor spaces of ZENIT Bonmont: private pool, Mediterranean gardens, and unforgettable moments under the Costa Dorada sun.",144,https://zenitbonmont.com/outdoor.html,Outdoor Gallery - ZENIT Bonmont,"Explore the stunning outdoor spaces of ZENIT Bonmont: private pool, Mediterranean gardens, and unforgettable moments.",website,https://zenitbonmont.com/images/exteriors/pool/pool-11.webp,https://zenitbonmont.com/outdoor.html,en_US,summary_large_image,Outdoor Gallery - ZENIT Bonmont,"Explore the stunning outdoor spaces of ZENIT Bonmont: private pool, Mediterranean gardens, and unforgettable moments.",https://zenitbonmont.com/images/exteriors/pool/pool-11.webp,,,,,
philosophy.html,es,Zenit Bonmont Philosophy - The Art of Living,44,"Discover the essence of Zenit Bonmont. A space designed for the balance between silence, celebration, and shared life in an exclusive environment.",146,https://zenitbonmont.com/philosophy.html,Zenit Bonmont Philosophy - The Art of Living,"Discover the essence of Zenit Bonmont. A space designed for the balance between silence, celebration, and shared life in an exclusive environment.",website,https://zenitbonmont.com/images/idoia.webp,https://zenitbonmont.com/philosophy.html,en_US,summary_large_image,Zenit Bonmont Philosophy - The Art of Living,"Discover the essence of Zenit Bonmont. A space designed for the balance between silence, celebration, and shared life in an exclusive environment.",https://zenitbonmont.com/images/idoia.webp,,,,,
rutas-btt-mont-roig-del-camp.html,es,BTT Routes in Mont-roig del Camp and Costa Dorada - ZENIT Blog,62,BTT routes guide in Mont-roig del Camp. Discover the best trails in Costa Dorada from ZENIT Bonmont with tips from our host.,124,https://zenitbonmont.com/rutas-btt-mont-roig-del-camp.html,BTT Routes in Mont-roig del Camp and Costa Dorada - ZENIT Blog,BTT routes guide in Mont-roig del Camp. Discover the best trails in Costa Dorada from ZENIT Bonmont with tips from our host.,article,https://zenitbonmont.com/images/vistas-mar.webp,https://zenitbonmont.com/rutas-btt-mont-roig-del-camp.html,en_US,summary_large_image,BTT Routes in Mont-roig del Camp and Costa Dorada - ZENIT Blog,BTT routes guide in Mont-roig del Camp. Discover the best trails in Costa Dorada from ZENIT Bonmont with tips from our host.,https://zenitbonmont.com/images/vistas-mar.webp,Article,BTT Routes in Mont-roig del Camp and Costa Dorada,BTT routes guide in Mont-roig del Camp. Discover the best trails in Costa Dorada from ZENIT Bonmont with tips from our host.,https://zenitbonmont.com/images/vistas-mar.webp,https://zenitbonmont.com/rutas-btt-mont-roig-del-camp.html
tradicion-calcotada-valls-tarragona.html,es,The Calçotada Tradition in Tarragona and Valls - ZENIT Blog,59,Discover the calçotada tradition in Tarragona and Valls. Recommendations and secrets from our host to live an authentic experience.,131,https://zenitbonmont.com/tradicion-calcotada-valls-tarragona.html,The Calçotada Tradition in Tarragona and Valls - ZENIT Blog,Discover the calçotada tradition in Tarragona and Valls. Recommendations and secrets from our host to live an authentic experience.,article,https://zenitbonmont.com/images/calcotada.webp,https://zenitbonmont.com/tradicion-calcotada-valls-tarragona.html,en_US,summary_large_image,The Calçotada Tradition in Tarragona and Valls - ZENIT Blog,Discover the calçotada tradition in Tarragona and Valls. Recommendations and secrets from our host to live an authentic experience.,https://zenitbonmont.com/images/calcotada.webp,Article,The Calçotada Tradition in Valls and Tarragona,Complete guide to enjoying the calçotada tradition near ZENIT Bonmont. Discover our favourite restaurants and the best time to visit.,https://zenitbonmont.com/images/calcotada.webp,https://zenitbonmont.com/tradicion-calcotada-valls-tarragona.html
wellness.html,es,Wellness & Equipment - ZENIT Bonmont,36,Discover the premium equipment and wellness facilities at ZENIT Bonmont. From our professional kitchen to our relaxation areas.,127,https://zenitbonmont.com/wellness.html,Wellness & Equipment - ZENIT Bonmont,"Discover the premium equipment and wellness facilities at ZENIT Bonmont. Professional kitchen, private pool, office, and more.",website,https://zenitbonmont.com/images/Equipamiento/despacho1.webp,https://zenitbonmont.com/wellness.html,en_US,summary_large_image,Wellness & Equipment - ZENIT Bonmont,"Discover the premium equipment and wellness facilities at ZENIT Bonmont. Professional kitchen, private pool, office, and more.",https://zenitbonmont.com/images/Equipamiento/despacho1.webp,,,,,
